scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fer,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Balanced Fund,BEA,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"1,948.03",4,1.34068,14.64,5.24,5.16,-17.27,-0.67
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Core Accumulation Fund,BEA,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"3,670.22",4,0.77687,12.45,11.36,14.63,-15.96,9.54
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Greater China Equity Fund,BEA,Equity Fund - Greater China Equity Fund,04-01-2010,980.22,6,1.29682,35.56,15.67,-6.94,-26.93,-4.43
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Growth Fund,BEA,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"3,888.95",5,1.37183,19.60,8.48,5.62,-18.05,1.12
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Hong Kong Equity Fund,BEA,Equity Fund - Hong Kong Equity Fund,04-01-2010,765.37,7,1.27899,34.21,16.63,-15.36,-24.51,-15.66
BEA (MPF) Industry Scheme,BEA (Industry Scheme) MPF Conservative Fund,BEA,Money Market Fund - MPF Conservative Fund,01-12-2000,"3,986.72",1,0.80767,1.92,3.41,3.42,0.35,0.01
BEA (MPF) Industry Scheme,BEA (Industry Scheme) RMB & HKD Money Market Fund,BEA,Money Market Fund - Other than MPF Conservative Fund,03-07-2012,256.40,3,0.79088,4.30,0.14,1.10,-4.05,2.56
BEA (MPF) Industry Scheme,BEA (Industry Scheme) Stable Fund,BEA,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,"3,023.39",4,1.31067,10.11,2.09,4.49,-15.95,-2.33
BEA (MPF) Industry Scheme,BEA China Tracker Fund,BEA,Equity Fund - China Equity Fund,31-01-2012,175.47,7,1.17257,24.59,29.45,-12.35,-16.54,-22.11
BEA (MPF) Industry Scheme,BEA Hong Kong Tracker Fund,BEA,Equity Fund - Hong Kong Equity Fund (Index Tracking),31-01-2012,205.52,7,0.58317,30.51,21.97,-10.92,-12.99,-12.36
BEA (MPF) Master Trust Scheme,BEA (MPF) Age 65 Plus Fund,BEA,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,"1,039.25",4,0.78021,5.95,3.42,7.59,-14.35,0.96
BEA (MPF) Master Trust Scheme,BEA (MPF) Asian Equity Fund,BEA,Equity Fund - Asia Equity Fund,01-09-2005,"1,524.02",5,1.31850,33.60,14.26,4.82,-24.86,-0.17
BEA (MPF) Master Trust Scheme,BEA (MPF) Balanced Fund,BEA,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"1,840.89",4,1.34166,14.72,5.31,5.18,-17.30,-0.66
BEA (MPF) Master Trust Scheme,BEA (MPF) Conservative Fund,BEA,Money Market Fund - MPF Conservative Fund,01-12-2000,"1,833.31",1,0.80857,1.94,3.38,3.40,0.35,-0.01
BEA (MPF) Master Trust Scheme,BEA (MPF) Core Accumulation Fund,BEA,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"1,207.65",4,0.77948,12.45,11.35,14.64,-15.96,9.54
BEA (MPF) Master Trust Scheme,BEA (MPF) European Equity Fund,BEA,Equity Fund - Europe Equity Fund,04-01-2010,206.11,5,1.39690,28.40,1.61,15.56,-13.75,14.37
BEA (MPF) Master Trust Scheme,BEA (MPF) Global Bond Fund,BEA,Bond Fund - Global Bond Fund,01-09-2005,356.18,4,1.05130,4.67,-2.70,3.85,-15.72,-5.43
BEA (MPF) Master Trust Scheme,BEA (MPF) Global Equity Fund,BEA,Equity Fund - Global Equity Fund,04-01-2010,732.81,5,1.25072,18.21,18.07,20.67,-17.95,17.68
BEA (MPF) Master Trust Scheme,BEA (MPF) Greater China Equity Fund,BEA,Equity Fund - Greater China Equity Fund,01-12-2006,"1,838.34",6,1.28586,35.62,16.30,-7.27,-26.84,-5.63
BEA (MPF) Master Trust Scheme,BEA (MPF) Growth Fund,BEA,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"3,910.12",5,1.37488,19.65,8.53,5.64,-18.12,1.10
BEA (MPF) Master Trust Scheme,BEA (MPF) Hong Kong Equity Fund,BEA,Equity Fund - Hong Kong Equity Fund,01-09-2005,"1,032.81",7,1.28325,34.19,16.65,-15.53,-24.51,-15.76
BEA (MPF) Master Trust Scheme,BEA (MPF) Japan Equity Fund,BEA,Equity Fund - Japan Equity Fund,01-12-2006,224.40,5,1.35966,23.71,13.77,21.72,-14.10,3.89
BEA (MPF) Master Trust Scheme,BEA (MPF) North American Equity Fund,BEA,Equity Fund - United States Equity Fund,31-01-2012,"1,143.21",5,1.24901,16.82,20.50,23.07,-19.33,26.17
BEA (MPF) Master Trust Scheme,BEA (MPF) RMB & HKD Money Market Fund,BEA,Money Market Fund - Other than MPF Conservative Fund,03-07-2012,184.56,3,0.79543,4.19,0.43,1.17,-4.15,2.66
BEA (MPF) Master Trust Scheme,BEA (MPF) Stable Fund,BEA,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,"1,866.20",4,1.31468,10.11,2.08,4.49,-16.00,-2.33
BEA (MPF) Master Trust Scheme,BEA China Tracker Fund,BEA,Equity Fund - China Equity Fund,31-01-2012,170.41,7,1.19223,24.49,29.29,-12.44,-16.58,-22.21
BEA (MPF) Master Trust Scheme,BEA Hong Kong Tracker Fund,BEA,Equity Fund - Hong Kong Equity Fund (Index Tracking),31-01-2012,340.93,7,0.59660,30.54,21.80,-10.97,-13.11,-12.43
BEA (MPF) Value Scheme,BEA Age 65 Plus Fund ,BEA,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,12.76,4,0.84302,5.92,3.31,7.51,-14.39,0.82
BEA (MPF) Value Scheme,BEA Asian Equity Fund,BEA,Equity Fund - Asia Equity Fund,25-10-2012,17.09,5,0.97668,34.32,13.23,4.82,-24.21,-4.33
BEA (MPF) Value Scheme,BEA Balanced Fund,BEA,Mixed Assets Fund - 41% to 60% Equity,25-10-2012,20.24,4,0.96420,16.92,6.39,6.45,-17.54,0.76
BEA (MPF) Value Scheme,BEA Core Accumulation Fund ,BEA,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,33.53,4,0.82147,12.38,11.31,14.58,-16.00,9.45
BEA (MPF) Value Scheme,BEA Global Bond Fund,BEA,Bond Fund - Global Bond Fund,25-10-2012,8.90,4,0.92715,4.56,-3.39,3.72,-16.28,-5.92
BEA (MPF) Value Scheme,BEA Global Equity Fund,BEA,Equity Fund - Global Equity Fund,25-10-2012,34.94,5,0.95234,18.19,18.59,21.00,-17.78,17.94
BEA (MPF) Value Scheme,BEA Greater China Equity Fund,BEA,Equity Fund - Greater China Equity Fund,25-10-2012,34.51,6,0.96335,36.54,16.15,-6.61,-26.34,-3.90
BEA (MPF) Value Scheme,BEA Growth Fund,BEA,Mixed Assets Fund - 61% to 80% Equity,25-10-2012,29.93,5,0.97939,22.07,9.74,7.24,-18.74,2.99
BEA (MPF) Value Scheme,BEA Hong Kong Tracker Fund,BEA,Equity Fund - Hong Kong Equity Fund (Index Tracking),25-10-2012,23.53,7,0.69026,30.30,21.59,-11.12,-13.30,-12.59
BEA (MPF) Value Scheme,BEA MPF Conservative Fund,BEA,Money Market Fund - MPF Conservative Fund,25-10-2012,30.93,1,0.78556,1.85,3.45,3.49,0.35,0.02
BEA (MPF) Value Scheme,BEA Stable Fund,BEA,Mixed Assets Fund - 21% to 40% Equity,25-10-2012,14.22,4,0.95500,12.11,3.05,5.67,-16.27,-1.38
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Age 65 Plus Fund,BOCIP,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,"2,094.08",4,0.76799,5.83,3.51,7.44,-14.69,1.06
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Asia Equity Fund,BOCIP,Equity Fund - Asia Equity Fund,03-10-2006,"5,194.64",5,1.70266,28.23,10.12,5.00,-16.96,0.22
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Balanced Fund,BOCIP,Mixed Assets Fund - 41% to 60% Equity,13-12-2000,"8,046.79",4,1.67227,16.69,3.81,5.60,-15.58,0.48
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Bond Fund,BOCIP,Bond Fund - Global Bond Fund,15-04-2003,"3,120.39",4,1.51145,5.16,-2.66,3.61,-16.70,-5.57
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential China Equity Fund,BOCIP,Equity Fund - China Equity Fund,15-10-2007,"8,637.59",7,1.74670,30.47,19.65,-16.27,-21.49,-16.17
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Core Accumulation Fund,BOCIP,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"7,759.75",4,0.75807,13.89,9.73,14.39,-15.96,9.66
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential CSI HK 100 Tracker Fund,BOCIP,Equity Fund - Hong Kong Equity Fund (Index Tracking),03-09-2012,"2,566.87",7,1.14744,32.44,20.54,-11.13,-16.43,-14.81
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential European Index Tracking Fund,BOCIP,Equity Fund - Europe Equity Fund,03-09-2012,"1,909.04",5,1.04393,29.27,2.80,17.42,-13.32,17.62
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Global Equity Fund,BOCIP,Equity Fund - Global Equity Fund,15-04-2003,"11,153.98",5,1.67957,19.77,15.06,19.93,-17.89,18.08
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Growth Fund,BOCIP,Mixed Assets Fund - 81% to 100% Equity,13-12-2000,"16,674.53",5,1.68152,25.62,10.48,7.56,-16.06,4.54
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Hong Kong Equity Fund,BOCIP,Equity Fund - Hong Kong Equity Fund,15-04-2003,"12,510.21",7,1.67216,33.70,17.33,-12.64,-17.19,-15.50
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Hong Kong Stable Retirement Fund,BOCIP,Mixed Assets Fund - Uncategorized Mixed Asset Fund,21-11-2022,818.17,n.a.,1.41330,7.38,4.76,6.57,n.a.,n.a.
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Japan Equity Fund,BOCIP,Equity Fund - Japan Equity Fund,03-10-2006,"1,860.65",4,1.66729,24.60,11.31,21.74,-13.00,3.14
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential MPF Conservative Fund,BOCIP,Money Market Fund - MPF Conservative Fund,13-12-2000,"14,972.07",1,0.81440,2.32,3.82,3.74,0.55,0.00
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential MPF RMB & HKD Money Market Fund,BOCIP,Money Market Fund - Other than MPF Conservative Fund,02-04-2013,"1,487.62",3,0.56050,4.86,1.02,1.43,-2.75,3.25
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential North America Index Tracking Fund,BOCIP,Equity Fund - United States Equity Fund,03-09-2012,"11,666.52",5,1.02335,16.49,21.90,24.30,-20.11,25.56
BOC-Prudential Easy-Choice Mandatory Provident Fund Scheme,BOC-Prudential Stable Fund,BOCIP,Mixed Assets Fund - 21% to 40% Equity,13-12-2000,"7,934.61",4,1.66675,11.94,0.76,4.71,-16.10,-1.95
China Life MPF Master Trust Scheme,China Life Age 65 Plus Fund,China Life,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,211.28,4,0.81915,7.10,3.85,8.47,-15.18,0.66
China Life MPF Master Trust Scheme,China Life Balanced Fund,China Life,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,503.48,5,1.36763,17.27,7.46,4.24,-19.56,0.11
China Life MPF Master Trust Scheme,China Life Core Accumulation Fund,China Life,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,522.17,4,0.82106,15.80,11.05,16.07,-16.59,9.91
China Life MPF Master Trust Scheme,China Life Greater China Equity Fund,China Life,Equity Fund - Greater China Equity Fund,13-12-2021,171.66,6,1.27199,33.54,13.11,-9.41,-26.83,n.a.
China Life MPF Master Trust Scheme,China Life Growth Fund,China Life,Mixed Assets Fund - 81% to 100% Equity,01-12-2000,882.89,5,1.37224,20.62,10.28,4.50,-20.63,1.40
China Life MPF Master Trust Scheme,China Life Hong Kong Equity Fund,China Life,Equity Fund - Hong Kong Equity Fund,23-12-2011,592.24,6,0.87615,30.39,18.04,-15.53,-18.49,-15.68
China Life MPF Master Trust Scheme,China Life Joyful Retirement Guaranteed Fund,China Life,Guaranteed Fund,01-10-2007,"1,466.08",3,2.06681,6.18,3.57,3.51,-9.70,-2.50
China Life MPF Master Trust Scheme,China Life MPF Conservative Fund,China Life,Money Market Fund - MPF Conservative Fund,01-12-2000,657.08,1,0.90091,2.32,3.43,3.20,0.32,0.00
China Life MPF Master Trust Scheme,China Life Retire-Easy Global Equity Fund,China Life,Equity Fund - Global Equity Fund,01-10-2007,373.46,5,1.25177,15.32,15.79,34.98,-21.57,0.47
China Life MPF Master Trust Scheme,China Life US Equity Fund,China Life,Equity Fund - United States Equity Fund,13-12-2021,282.93,5,0.89316,14.62,18.47,34.88,-33.04,n.a.
Fidelity Retirement Master Trust,Age 65 Plus Fund,HSBC,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,"1,094.10",4,0.80442,5.17,3.42,7.28,-14.99,0.74
Fidelity Retirement Master Trust,Americas Equity Fund,HSBC,Equity Fund - United States Equity Fund,31-08-2023,"2,525.82",n.a.,1.39007,15.40,22.75,n.a.,n.a.,n.a.
Fidelity Retirement Master Trust,Asia Pacific Equity Fund,HSBC,Equity Fund - Asia Equity Fund,07-08-2006,"6,480.66",5,1.54408,23.17,11.43,9.54,-21.62,-3.38
Fidelity Retirement Master Trust,Balanced Fund,HSBC,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"4,753.90",5,1.53260,17.01,7.26,4.19,-19.62,-0.01
Fidelity Retirement Master Trust,Capital Stable Fund,HSBC,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,"2,007.99",4,1.52942,9.26,2.04,4.16,-17.94,-2.40
Fidelity Retirement Master Trust,Core Accumulation Fund,HSBC,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"5,744.32",4,0.79169,13.29,9.70,14.03,-16.60,9.46
Fidelity Retirement Master Trust,European Equity Fund,HSBC,Equity Fund - Europe Equity Fund,31-08-2023,239.15,n.a.,1.42899,19.78,-0.34,n.a.,n.a.,n.a.
Fidelity Retirement Master Trust,Fidelity Hong Kong Tracker Fund,HSBC,Equity Fund - Hong Kong Equity Fund (Index Tracking),28-06-2013,"2,607.85",6,0.74853,30.31,21.69,-11.08,-13.21,-12.52
Fidelity Retirement Master Trust,Fidelity SaveEasy 2025 Fund,HSBC,Mixed Assets Fund - Uncategorized Mixed Asset Fund,27-10-2008,388.68,4,1.31493,10.03,4.33,4.32,-20.04,0.99
Fidelity Retirement Master Trust,Fidelity SaveEasy 2030 Fund,HSBC,Mixed Assets Fund - Uncategorized Mixed Asset Fund,27-10-2008,673.61,5,1.56450,19.35,9.55,4.39,-20.58,1.10
Fidelity Retirement Master Trust,Fidelity SaveEasy 2035 Fund,HSBC,Mixed Assets Fund - Uncategorized Mixed Asset Fund,27-10-2008,719.54,5,1.56536,20.87,10.50,4.32,-20.88,1.22
Fidelity Retirement Master Trust,Fidelity SaveEasy 2040 Fund,HSBC,Mixed Assets Fund - Uncategorized Mixed Asset Fund,27-10-2008,"1,716.72",5,1.55239,22.06,10.97,4.41,-20.93,1.31
Fidelity Retirement Master Trust,Fidelity SaveEasy 2045 Fund,HSBC,Mixed Assets Fund - Uncategorized Mixed Asset Fund,23-11-2015,331.88,5,1.65651,22.03,10.76,4.41,-21.02,1.06
Fidelity Retirement Master Trust,Fidelity SaveEasy 2050 Fund,HSBC,Mixed Assets Fund - Uncategorized Mixed Asset Fund,23-11-2015,703.40,5,1.61082,22.54,10.89,4.31,-21.09,1.03
Fidelity Retirement Master Trust,Global Equity Fund,HSBC,Equity Fund - Global Equity Fund,02-07-2003,"9,628.18",5,1.51111,17.33,15.28,18.21,-23.83,15.76
Fidelity Retirement Master Trust,Growth Fund,HSBC,Mixed Assets Fund - 81% to 100% Equity,01-12-2000,"8,350.67",5,1.53620,20.41,10.05,4.46,-20.72,1.35
Fidelity Retirement Master Trust,Hong Kong Bond Fund,HSBC,Bond Fund - Hong Kong Dollar Bond Fund,08-07-2003,"1,325.54",3,1.25571,6.11,3.29,6.56,-10.26,-0.77
Fidelity Retirement Master Trust,Hong Kong Equity Fund,HSBC,Equity Fund - Hong Kong Equity Fund,01-12-2000,"7,291.17",6,1.52060,30.03,16.83,-16.18,-19.03,-15.94
Fidelity Retirement Master Trust,MPF Conservative Fund,HSBC,Money Market Fund - MPF Conservative Fund,01-12-2000,"7,167.56",1,0.97277,2.08,3.55,3.03,0.08,0.00
Fidelity Retirement Master Trust,RetireEasy Fund,HSBC,Mixed Assets Fund - Uncategorized Mixed Asset Fund,01-11-2021,332.07,4,1.30567,9.29,5.17,8.00,-18.92,n.a.
Fidelity Retirement Master Trust,RMB Bond Fund,HSBC,Bond Fund - RMB Bond Fund,16-05-2016,613.00,3,1.32258,6.39,1.00,1.42,-7.71,1.51
Fidelity Retirement Master Trust,Stable Growth Fund,HSBC,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"4,146.59",4,1.52523,13.28,4.32,4.26,-19.07,-1.25
Fidelity Retirement Master Trust,World Bond Fund,HSBC,Bond Fund - Global Bond Fund,08-07-2003,"1,416.49",4,1.50430,4.49,-3.65,4.30,-18.21,-5.34
Haitong MPF Retirement Fund,Haitong Age 65 Plus Fund - Class A,HSBC,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,4.66,4,0.92894,9.51,6.27,9.02,-15.42,1.88
Haitong MPF Retirement Fund,Haitong Age 65 Plus Fund - Class T,HSBC,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,8.03,4,0.92960,9.51,6.27,9.02,-15.42,1.88
Haitong MPF Retirement Fund,Haitong Asia Pacific Fund - Class A,HSBC,Equity Fund - Asia Equity Fund,01-02-2001,27.21,5,1.91753,29.66,13.26,2.77,-22.73,0.86
Haitong MPF Retirement Fund,Haitong Asia Pacific Fund - Class T,HSBC,Equity Fund - Asia Equity Fund,01-02-2001,62.47,5,1.86793,29.66,13.37,2.79,-22.70,0.92
Haitong MPF Retirement Fund,Haitong Core Accumulation Fund - Class A,HSBC,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,44.29,6,0.92544,18.67,15.52,15.83,-21.34,11.59
Haitong MPF Retirement Fund,Haitong Core Accumulation Fund - Class T,HSBC,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,49.83,6,0.92562,18.65,15.55,15.80,-21.32,11.58
Haitong MPF Retirement Fund,Haitong Global Diversification Fund - Class A,HSBC,Equity Fund - Global Equity Fund,01-02-2001,79.30,6,1.39248,25.16,23.51,21.71,-27.37,20.65
Haitong MPF Retirement Fund,Haitong Global Diversification Fund - Class T,HSBC,Equity Fund - Global Equity Fund,01-02-2001,157.13,6,1.29271,25.29,23.64,21.77,-27.26,20.79
Haitong MPF Retirement Fund,Haitong Hong Kong SAR Fund - Class A,HSBC,Equity Fund - Hong Kong Equity Fund,01-02-2001,60.95,4,1.73598,30.82,14.98,-16.33,-15.72,-9.05
Haitong MPF Retirement Fund,Haitong Hong Kong SAR Fund - Class T,HSBC,Equity Fund - Hong Kong Equity Fund,01-02-2001,159.49,4,1.65624,30.92,15.09,-16.27,-15.65,-8.98
Haitong MPF Retirement Fund,Haitong Korea Fund - Class A,HSBC,Equity Fund - Uncategorized Equity Fund,01-02-2001,11.32,7,1.71456,84.85,-8.23,16.69,-24.30,-1.65
Haitong MPF Retirement Fund,Haitong Korea Fund - Class T,HSBC,Equity Fund - Uncategorized Equity Fund,01-02-2001,115.07,7,1.71427,84.79,-8.21,16.68,-24.29,-1.65
Haitong MPF Retirement Fund,Haitong MPF Conservative Fund - Class A,HSBC,Money Market Fund - MPF Conservative Fund,01-02-2001,34.62,3,0.94405,2.30,3.58,3.53,0.27,0.09
Haitong MPF Retirement Fund,Haitong MPF Conservative Fund - Class T,HSBC,Money Market Fund - MPF Conservative Fund,01-02-2001,75.94,3,0.89323,2.34,3.60,3.55,0.43,0.00
Hang Seng Mandatory Provident Fund - SuperTrust Plus,Age 65 Plus Fund,HSBC,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,08-10-2009,"2,158.65",4,0.77784,6.28,2.56,7.15,-13.21,1.39
Hang Seng Mandatory Provident Fund - SuperTrust Plus,Asia Pacific Equity Fund,HSBC,Equity Fund - Asia Equity Fund,01-12-2000,"4,950.79",5,1.49646,23.43,8.43,-1.28,-25.41,-0.49
Hang Seng Mandatory Provident Fund - SuperTrust Plus,Balanced Fund,HSBC,Mixed Assets Fund - 61% to 80% Equity,01-12-2000,"6,701.35",4,1.43436,20.43,7.16,5.51,-14.08,1.21
Hang Seng Mandatory Provident Fund - SuperTrust Plus,Chinese Equity Fund,HSBC,Equity Fund - China Equity Fund,08-10-2009,"3,938.20",6,1.49390,30.43,15.75,-18.15,-25.60,-18.24
Hang Seng Mandatory Provident Fund - SuperTrust Plus,Core Accumulation Fund,HSBC,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-12-2000,"7,432.01",4,0.77620,14.05,7.92,14.29,-14.53,11.28
Hang Seng Mandatory Provident Fund - SuperTrust Plus,European Equity Fund,HSBC,Equity Fund - Europe Equity Fund,01-12-2000,"1,729.93",5,1.33251,30.89,-1.57,17.89,-14.76,15.84
Hang Seng Mandatory Provident Fund - SuperTrust Plus,Global Bond Fund,HSBC,Bond Fund - Global Bond Fund,08-10-2009,"1,768.38",4,0.82206,5.68,-2.72,4.49,-15.49,-5.84
Hang Seng Mandatory Provident Fund - SuperTrust Plus,Global Equity Fund,HSBC,Equity Fund - Global Equity Fund,01-07-2019,"1,841.24",5,0.81568,20.64,13.97,22.11,-17.28,21.63
Hang Seng Mandatory Provident Fund - SuperTrust Plus,Growth Fund,HSBC,Mixed Assets Fund - 81% to 100% Equity,01-12-2000,"10,790.86",5,1.53967,24.97,9.69,5.54,-14.92,2.93
